Cycle:0, Probe:0, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:0, Probe:1, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:0, Probe:2, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:0, Probe:3, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:0, Probe:4, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:0, Probe:5, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:1, Probe:0, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:1, Probe:1, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:1, Probe:2, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:1, Probe:3, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:1, Probe:4, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:1, Probe:5, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:2, Probe:0, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:2, Probe:1, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:2, Probe:2, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:2, Probe:3, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:2, Probe:4, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:2, Probe:5, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:3, Probe:0, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:3, Probe:1, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:3, Probe:2, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:3, Probe:3, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:3, Probe:4, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:3, Probe:5, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:4, Probe:0, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:4, Probe:1, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:4, Probe:2, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:4, Probe:3, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:4, Probe:4, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:4, Probe:5, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:5, Probe:0, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:5, Probe:1, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:5, Probe:2, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:5, Probe:3, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:5, Probe:4, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:5, Probe:5, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:6, Probe:0, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:6, Probe:1, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:6, Probe:2, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:6, Probe:3, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:6, Probe:4, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:6, Probe:5, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:7, Probe:0, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:7, Probe:1, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:7, Probe:2, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:7, Probe:3, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:7, Probe:4, Freq:10000, Impedance:3922, Magnitude:3.605, Imaginary:u Real:u;
Cycle:7, Probe:5, Freq:1, Impedance:0, Magnitude:0.  0, Imaginary:u Real:u;
Cycle:8, Probe:0, Freq:1, Impedance:0, Magnitude:0.  0, Imaginary:u Real:u;
Cycle:8, Probe:1, Freq:0, Impedance:273, Magnitude:2147483647.1000, Imaginary:u Real:u;
Cycle:8, Probe:2, Freq:1, Impedance:0, Magnitude:0.  0, Imaginary:u Real:u;
Cycle:8, Probe:3, Freq:1148503, Impedance:3, Magnitude:0.  0, Imaginary:u Real:u;
Cycle:8, Probe:4, Freq:0, Impedance:0, Magnitude:0.  0, Imaginary:u Real:u;
Cycle:8, Probe:5, Freq:0, Impedance:0, Magnitude:0.  0, Imaginary:u Real:u;
