Cycle:0, Probe:0, Freq:10000, Impedance:23190, Magnitude:10.816654, Imaginary:65530 Real:65527 ;
Cycle:0, Probe:0, Freq:10500, Impedance:36666, Magnitude:10.816654, Imaginary:65530 Real:65527 ;
Cycle:0, Probe:0, Freq:11000, Impedance:4067, Magnitude:10.816654, Imaginary:65530 Real:65527 ;
Cycle:0, Probe:0, Freq:11500, Impedance:10169, Magnitude:10.816654, Imaginary:65530 Real:65527 ;
Cycle:0, Probe:0, Freq:12000, Impedance:6101, Magnitude:10.816654, Imaginary:65530 Real:65527 ;
Cycle:0, Probe:0, Freq:12500, Impedance:0, Magnitude:10.816654, Imaginary:65530 Real:65527 ;
Cycle:0, Probe:0, Freq:13000, Impedance:18191, Magnitude:10.816654, Imaginary:65530 Real:65527 ;
Cycle:0, Probe:0, Freq:13500, Impedance:10370, Magnitude:10.816654, Imaginary:65530 Real:65527 ;
Cycle:0, Probe:0, Freq:14000, Impedance:14381, Magnitude:10.816654, Imaginary:65530 Real:65527 ;
Cycle:0, Probe:0, Freq:14500, Impedance:14807, Magnitude:10.816654, Imaginary:65530 Real:65527 ;
Cycle:0, Probe:0, Freq:15000, Impedance:4067, Magnitude:10.816654, Imaginary:65530 Real:65527 ;
Cycle:0, Probe:0, Freq:15500, Impedance:2876, Magnitude:10.816654, Imaginary:65530 Real:65527 ;
Cycle:0, Probe:0, Freq:16000, Impedance:16397, Magnitude:10.816654, Imaginary:65530 Real:65527 ;
Cycle:0, Probe:0, Freq:16500, Impedance:2033, Magnitude:10.816654, Imaginary:65530 Real:65527 ;
Cycle:0, Probe:0, Freq:17000, Impedance:6431, Magnitude:10.816654, Imaginary:65530 Real:65527 ;
Cycle:0, Probe:0, Freq:17500, Impedance:4, Magnitude:14604.859375, Imaginary:65303 Real:50933 ;
Cycle:0, Probe:0, Freq:18000, Impedance:8737, Magnitude:17.804493, Imaginary:14 Real:65525 ;
Cycle:0, Probe:0, Freq:18500, Impedance:11189, Magnitude:17.804493, Imaginary:14 Real:65525 ;
Cycle:0, Probe:0, Freq:19000, Impedance:2471, Magnitude:17.804493, Imaginary:14 Real:65525 ;
Cycle:0, Probe:0, Freq:19500, Impedance:2762, Magnitude:17.804493, Imaginary:14 Real:65525 ;
Cycle:0, Probe:0, Freq:20000, Impedance:1235, Magnitude:17.804493, Imaginary:14 Real:65525 ;
Cycle:0, Probe:0, Freq:20500, Impedance:2471, Magnitude:17.804493, Imaginary:14 Real:65525 ;
Cycle:0, Probe:0, Freq:21000, Impedance:6654, Magnitude:17.804493, Imaginary:14 Real:65525 ;
Cycle:0, Probe:0, Freq:21500, Impedance:3706, Magnitude:17.804493, Imaginary:14 Real:65525 ;
Cycle:0, Probe:0, Freq:22000, Impedance:4455, Magnitude:17.804493, Imaginary:14 Real:65525 ;
Cycle:0, Probe:0, Freq:22500, Impedance:3907, Magnitude:17.804493, Imaginary:14 Real:65525 ;
Cycle:0, Probe:0, Freq:23000, Impedance:2471, Magnitude:17.804493, Imaginary:14 Real:65525 ;
Cycle:0, Probe:0, Freq:23500, Impedance:3706, Magnitude:17.804493, Imaginary:14 Real:65525 ;
Cycle:0, Probe:0, Freq:24000, Impedance:7911, Magnitude:17.804493, Imaginary:14 Real:65525 ;
Cycle:0, Probe:0, Freq:24500, Impedance:988, Magnitude:70.405968, Imaginary:14 Real:65467 ;
Cycle:0, Probe:0, Freq:25000, Impedance:56089, Magnitude:1.414214, Imaginary:1 Real:1 ;
Cycle:0, Probe:0, Freq:25500, Impedance:49193, Magnitude:1.414214, Imaginary:1 Real:1 ;
Cycle:0, Probe:0, Freq:26000, Impedance:109999, Magnitude:1.414214, Imaginary:1 Real:1 ;
Cycle:0, Probe:0, Freq:26500, Impedance:125419, Magnitude:1.414214, Imaginary:1 Real:1 ;
Cycle:0, Probe:0, Freq:27000, Impedance:34785, Magnitude:1.414214, Imaginary:1 Real:1 ;
Cycle:0, Probe:0, Freq:27500, Impedance:31112, Magnitude:1.414214, Imaginary:1 Real:1 ;
Cycle:0, Probe:0, Freq:28000, Impedance:34785, Magnitude:1.414214, Imaginary:1 Real:1 ;
Cycle:0, Probe:0, Freq:28500, Impedance:56089, Magnitude:1.414214, Imaginary:1 Real:1 ;
Cycle:0, Probe:0, Freq:29000, Impedance:46669, Magnitude:1.414214, Imaginary:1 Real:1 ;
Cycle:0, Probe:0, Freq:29500, Impedance:90708, Magnitude:1.414214, Imaginary:1 Real:1 ;
Cycle:0, Probe:0, Freq:30000, Impedance:69570, Magnitude:1.414214, Imaginary:1 Real:1 ;
Cycle:0, Probe:0, Freq:30500, Impedance:109999, Magnitude:1.414214, Imaginary:1 Real:1 ;
Cycle:0, Probe:0, Freq:31000, Impedance:64140, Magnitude:1.414214, Imaginary:1 Real:1 ;
Cycle:0, Probe:0, Freq:31500, Impedance:124, Magnitude:561.014282, Imaginary:561 Real:65532 ;
Cycle:0, Probe:0, Freq:32000, Impedance:19435, Magnitude:6.403124, Imaginary:5 Real:65532 ;
Cycle:0, Probe:0, Freq:32500, Impedance:15365, Magnitude:6.403124, Imaginary:5 Real:65532 ;
Cycle:0, Probe:0, Freq:33000, Impedance:17179, Magnitude:6.403124, Imaginary:5 Real:65532 ;
Cycle:0, Probe:0, Freq:33500, Impedance:21730, Magnitude:6.403124, Imaginary:5 Real:65532 ;
Cycle:0, Probe:0, Freq:34000, Impedance:31676, Magnitude:6.403124, Imaginary:5 Real:65532 ;
Cycle:0, Probe:0, Freq:34500, Impedance:29556, Magnitude:6.403124, Imaginary:5 Real:65532 ;
Cycle:0, Probe:0, Freq:35000, Impedance:14166, Magnitude:6.403124, Imaginary:5 Real:65532 ;
Cycle:0, Probe:0, Freq:35500, Impedance:17179, Magnitude:6.403124, Imaginary:5 Real:65532 ;
Cycle:0, Probe:0, Freq:36000, Impedance:17179, Magnitude:6.403124, Imaginary:5 Real:65532 ;
Cycle:0, Probe:0, Freq:36500, Impedance:17519, Magnitude:6.403124, Imaginary:5 Real:65532 ;
Cycle:req:37000, Impedance:6871, Magnitude:6.403124, Imaginary:5 Real:65532 ;
Cycle:0, Probe:0, Freq:37500, Impedance:17519, Magnitude:6.403124, Imaginary:5 Real:65532 ;
Cycle:0, Probe:0, Freq:38000, Impedance:95, Magnitude:1385.009033, Imaginary:5 Real:1385 ;
Cycle:0, Probe:0, Freq:38500, Impedance:31112, Magnitude:3.162278, Imaginary:65535 Real:65533 ;
Cycle:0, Probe:0, Freq:39000, Impedance:28684, Magnitude:3.162278, Imaginary:65535 Real:65533 ;
Cycle:0, Probe:0, Freq:39500, Impedance:28684, Magnitude:3.162278, Imaginary:65535 Real:65533 ;
Cycle:0, Probe:0, Freq:40000, Impedance:27828, Magnitude:3.162278, Imaginary:65535 Real:65533 ;
Cycle:0, Probe:0, Freq:40500, Impedance:35473, Magnitude:3.162278, Imaginary:65535 Real:65533 ;
Cycle:0, Probe:0, Freq:41000, Impedance:48699, Magnitude:3.162278, Imaginary:65535 Real:65533 ;
Cycle:0, Probe:0, Freq:41500, Impedance:64140, Magnitude:3.162278, Imaginary:65535 Real:65533 ;
Cycle:0, Probe:0, Freq:42000, Impedance:62998, Magnitude:3.162278, Imaginary:65535 Real:65533 ;
Cycle:0, Probe:0, Freq:42500, Impedance:37464, Magnitude:3.162278, Imaginary:65535 Real:65533 ;
Cycle:0, Probe:0, Freq:43000, Impedance:34785, Magnitude:3.162278, Imaginary:65535 Real:65533 ;
Cycle:0, Probe:0, Freq:43500, Impedance:42317, Magnitude:3.162278, Imaginary:65535 Real:65533 ;
Cycle:0, Probe:0, Freq:44000, Impedance:57368, Magnitude:3.162278, Imaginary:65535 Real:65533 ;
Cycle:0, Probe:0, Freq:44500, Impedance:8, Magnitude:10752.000000, Imaginary:54784 Real:1 ;
Cycle:0, Probe:0, Freq:45000, Impedance:175999, Magnitude:1.000000, Imaginary:0 Real:1 ;
Cycle:0, Probe:0, Freq:45500, Impedance:133820, Magnitude:1.000000, Imaginary:0 Real:1 ;
Cycle:0, Probe:0, Freq:46000, Impedance:187968, Magnitude:1.000000, Imaginary:0 Real:1 ;
Cycle:0, Probe:0, Freq:46500, Impedance:98386, Magnitude:1.000000, Imaginary:0 Real:1 ;
Cycle:0, Probe:0, Freq:47000, Impedance:112178, Magnitude:1.000000, Imaginary:0 Real:1 ;
Cycle:0, Probe:0, Freq:47500, Impedance:155563, Magnitude:1.000000, Imaginary:0 Real:1 ;
Cycle:0, Probe:0, Freq:48000, Impedance:177369, Magnitude:1.000000, Imaginary:0 Real:1 ;
Cycle:0, Probe:0, Freq:48500, Impedance:118473, Magnitude:1.000000, Imaginary:0 Real:1 ;
