Freq:10000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:10500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:11000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:11500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:12000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:12500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:13000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:13500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:14000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:14500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:15000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:15500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:16000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:16500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:17000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:17500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:18000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:18500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:19000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:19500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:20000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:20500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:21000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:21500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:22000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:22500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:23000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:23500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:24000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:24500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:25000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:25500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:26000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:26500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:27000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:27500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:28000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:28500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:29000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:29500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:30000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:30500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:31000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:31500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:32000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:32500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:33000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:33500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:34000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:34500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:35000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:35500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:36000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:36500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:37000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:37500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:38000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:38500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:39000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:39500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:40000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:40500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:41000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:41500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:42000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:42500, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:43000, Impedance:7071, Magnitude:1.414214, Imaginary:65535 Real:65535;
Freq:43500, Impedance:27, Magnitude:361.332245, Imaginary:65280 Real:255;
Freq:44000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:44500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:45000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:45500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:46000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:46500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:47000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:47500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:48000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:48500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:49000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:49500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:50000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:50500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:51000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:51500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:52000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:52500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:53000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:53500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:54000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:54500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:55000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:55500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:56000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:56500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:57000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:57500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:58000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:58500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:59000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:59500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:60000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:60500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:61000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:61500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:62000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:62500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:63000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:63500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:64000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:64500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:65000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:65500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:66000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:66500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:67000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:67500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:68000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:68500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:69000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:69500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:70000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:70500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:71000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:71500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:72000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:72500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:73000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:73500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:74000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:74500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:75000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:75500, Impedance:28, Magnitude:349.493927, Imaginary:239 Real:255;
Freq:76000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:76500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:77000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:77500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:78000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:78500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:79000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:79500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:80000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:80500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:81000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:81500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:82000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:82500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:83000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:83500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:84000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:84500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:85000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:85500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:86000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:86500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:87000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:87500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:88000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:88500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:89000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:89500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:90000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:90500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:91000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:91500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:92000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:92500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:93000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:93500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:94000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:94500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:95000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:95500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:96000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:96500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:97000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:97500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:98000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:98500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:99000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:99500, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
Freq:100000, Impedance:10000, Magnitude:1.000000, Imaginary:0 Real:65535;
